iter	Passed	Remaining
576	3283	2407
577	3290	2402
578	3297	2397
579	3302	2391
580	3307	2385
581	3312	2379
582	3317	2372
583	3322	2366
584	3328	2361
585	3333	2354
586	3338	2348
587	3342	2342
588	3347	2336
589	3354	2330
590	3359	2324
591	3364	2318
592	3368	2312
593	3374	2306
594	3379	2300
595	3384	2293
596	3389	2287
597	3394	2282
598	3400	2276
599	3405	2270
600	3410	2264
601	3414	2257
602	3421	2252
603	3427	2247
604	3434	2242
605	3438	2235
606	3445	2230
607	3450	2224
608	3454	2218
609	3458	2211
610	3463	2205
611	3469	2199
612	3474	2193
613	3479	2187
614	3484	2181
615	3489	2175
616	3496	2170
617	3501	2164
618	3506	2158
619	3510	2151
620	3517	2146
621	3522	2140
622	3527	2134
623	3531	2128
624	3537	2122
625	3543	2116
626	3548	2110
627	3553	2104
628	3557	2098
629	3564	2093
630	3569	2087
631	3575	2081
632	3582	2076
633	3588	2071
634	3593	2065
635	3598	2059
636	3603	2053
637	3608	2047
638	3613	2041
639	3619	2036
640	3625	2030
641	3630	2024
642	3637	2019
643	3643	2013
644	3648	2008
645	3653	2002
646	3661	1997
647	3666	1991
648	3672	1986
649	3678	1980
650	3685	1975
651	3690	1969
652	3697	1965
653	3706	1960
654	3712	1955
655	3717	1949
656	3724	1944
657	3736	1941
658	3741	1936
659	3746	1930
660	3754	1925
661	3760	1919
662	3765	1913
663	3770	1907
664	3775	1902
665	3780	1896
666	3785	1889
667	3790	1883
668	3795	1877
669	3801	1872
670	3806	1866
671	3811	1860
672	3816	1854
673	3821	1848
674	3826	1842
675	3831	1836
676	3836	1830
677	3840	1824
678	3846	1818
679	3851	1812
680	3856	1806
681	3861	1800
682	3865	1794
683	3874	1789
684	3881	1784
685	3886	1778
686	3891	1772
687	3896	1767
688	3901	1761
689	3906	1755
690	3910	1748
691	3917	1743
692	3921	1737
693	3926	1731
694	3931	1725
695	3936	1719
696	3941	1713
697	3946	1707
698	3951	1701
699	3956	1695
700	3961	1689
701	3967	1684
702	3972	1678
703	3977	1672
704	3981	1666
705	3986	1660
706	3992	1654
707	3996	1648
708	4001	1642
709	4006	1636
710	4012	1631
711	4017	1625
712	4022	1619
713	4028	1613
714	4034	1608
715	4039	1602
716	4043	1596
717	4049	1590
718	4053	1584
719	4060	1579
720	4065	1573
721	4070	1567
722	4074	1561
723	4081	1555
724	4087	1550
725	4092	1544
726	4097	1538
727	4102	1532
728	4110	1527
729	4115	1522
730	4120	1516
731	4126	1510
732	4133	1505
733	4138	1499
734	4144	1494
735	4149	1488
736	4158	1484
737	4167	1479
738	4178	1475
739	4184	1470
740	4190	1464
741	4195	1458
742	4202	1453
743	4208	1448
744	4213	1442
745	4217	1435
746	4222	1430
747	4229	1424
748	4235	1419
749	4240	1413
750	4246	1407
751	4252	1402
752	4257	1396
753	4261	1390
754	4266	1384
755	4273	1379
756	4277	1373
757	4282	1367
758	4287	1361
759	4291	1355
760	4298	1349
761	4304	1344
762	4311	1339
763	4316	1333
764	4322	1327
765	4327	1321
766	4331	1315
767	4336	1309
768	4342	1304
769	4347	1298
770	4351	1292
771	4356	1286
772	4361	1280
773	4368	1275
774	4372	1269
775	4377	1263
776	4382	1257
777	4386	1251
778	4392	1246
779	4397	1240
780	4401	1234
781	4406	1228
782	4411	1222
783	4416	1216
784	4421	1210
785	4425	1204
786	4430	1199
787	4434	1193
788	4441	1187
789	4449	1182
790	4453	1176
791	4458	1170
792	4464	1165
793	4468	1159
794	4473	1153
795	4477	1147
796	4483	1141
797	4488	1136
798	4492	1130
799	4497	1124
800	4501	1118
801	4507	1112
802	4512	1106
803	4516	1101
804	4521	1095
805	4524	1088
806	4528	1083
807	4534	1077
808	4539	1071
809	4543	1065
810	4548	1059
811	4553	1054
812	4557	1048
813	4562	1042
814	4567	1036
815	4572	1030
816	4581	1026
817	4588	1020
818	4593	1015
819	4598	1009
820	4604	1003
821	4609	998
822	4614	992
823	4620	986
824	4627	981
825	4632	975
826	4638	970
827	4643	964
828	4652	959
829	4659	954
830	4664	948
831	4671	943
832	4676	937
833	4682	931
834	4687	926
835	4694	920
836	4699	915
837	4704	909
838	4710	903
839	4715	898
840	4721	892
841	4727	887
842	4733	881
843	4738	875
844	4744	870
845	4749	864
846	4753	858
847	4758	852
848	4762	847
849	4769	841
850	4773	835
851	4778	830
852	4782	824
853	4788	818
854	4792	812
855	4797	807
856	4801	801
857	4806	795
858	4810	789
859	4817	784
860	4822	778
861	4826	772
862	4831	767
863	4837	761
864	4842	755
865	4847	750
866	4851	744
867	4856	738
868	4862	733
869	4869	727
870	4874	721
871	4878	716
872	4884	710
873	4889	704
874	4893	699
875	4898	693
876	4902	687
877	4908	682
878	4913	676
879	4917	670
880	4923	664
881	4928	659
882	4934	653
883	4939	648
884	4943	642
885	4948	636
886	4953	631
887	4958	625
888	4963	619
889	4967	613
890	4972	608
891	4977	602
892	4982	596
893	4986	591
894	4991	585
895	4996	579
896	5002	574
897	5007	568
898	5012	563
899	5017	557
900	5021	551
901	5029	546
902	5034	540
903	5038	535
904	5043	529
905	5048	523
906	5053	518
907	5058	512
908	5063	506
909	5068	501
910	5076	495
911	5081	490
912	5086	484
913	5091	479
914	5098	473
915	5104	468
916	5109	462
917	5114	456
918	5124	451
919	5131	446
